observation,action
"[0.10125080496072769, -0.14526517689228058, -0.015345367603003979, 0.15451815724372864]","[0.0, 1.0]"
"[0.09834550321102142, 0.050073087215423584, -0.012255004607141018, -0.1429661065340042]","[1.0, 0.0]"
"[0.09934696555137634, -0.14487123489379883, -0.015114326030015945, 0.14582553505897522]","[0.0, 1.0]"
"[0.09644953906536102, 0.05046387389302254, -0.01219781581312418, -0.1515870988368988]","[1.0, 0.0]"
"[0.09745881706476212, -0.14448131620883942, -0.015229557640850544, 0.13722285628318787]","[0.0, 1.0]"
"[0.09456919133663177, 0.050855424255132675, -0.012485100887715816, -0.16022558510303497]","[1.0, 0.0]"
"[0.09558629989624023, -0.1440855860710144, -0.015689611434936523, 0.12849260866641998]","[0.0, 1.0]"
"[0.09270458668470383, 0.051257576793432236, -0.01311975996941328, -0.1690986156463623]","[1.0, 0.0]"
"[0.09372974187135696, -0.14367415010929108, -0.016501732170581818, 0.11941670626401901]","[0.0, 1.0]"
"[0.09085625410079956, 0.051680292934179306, -0.014113398268818855, -0.1784263551235199]","[1.0, 0.0]"
"[0.09188985824584961, -0.14323687553405762, -0.017681924626231194, 0.10977108031511307]","[0.0, 1.0]"
"[0.08902512490749359, 0.05213392898440361, -0.015486503951251507, -0.1884375363588333]","[1.0, 0.0]"
"[0.0900678038597107, -0.14276307821273804, -0.019255254417657852, 0.09932006895542145]","[0.0, 1.0]"
"[0.08721254020929337, 0.05262947082519531, -0.01726885326206684, -0.19937510788440704]","[1.0, 0.0]"
"[0.08826512843370438, -0.14224128425121307, -0.021256355568766594, 0.08781065046787262]","[0.0, 1.0]"
"[0.08542030304670334, 0.053178802132606506, -0.019500141963362694, -0.21150216460227966]","[1.0, 0.0]"
"[0.08648388087749481, -0.1416589915752411, -0.023730184882879257, 0.07496628165245056]","[0.0, 1.0]"
"[0.08365070074796677, 0.053794976323843, -0.022230859845876694, -0.22510814666748047]","[1.0, 0.0]"
"[0.08472660183906555, -0.14100231230258942, -0.026733022183179855, 0.060480259358882904]","[0.0, 1.0]"
"[0.08190655708312988, 0.0544925294816494, -0.025523418560624123, -0.240515798330307]","[1.0, 0.0]"
"[0.08299640566110611, -0.14025568962097168, -0.030333733186125755, 0.044008322060108185]","[1.0, 0.0]"
"[0.08019129186868668, -0.33492982387542725, -0.029453568160533905, 0.3269684612751007]","[0.0, 1.0]"
"[0.07349269092082977, -0.13940119743347168, -0.02291419915854931, 0.025144608691334724]","[0.0, 1.0]"
"[0.07070466876029968, 0.05604173615574837, -0.022411305457353592, -0.274679034948349]","[1.0, 0.0]"
"[0.07182550430297852, -0.13875339925289154, -0.02790488675236702, 0.010851939208805561]","[1.0, 0.0]"
"[0.06905043870210648, -0.33346426486968994, -0.02768784761428833, 0.29460155963897705]","[0.0, 1.0]"
"[0.06238115206360817, -0.13795875012874603, -0.021795816719532013, -0.006683500483632088]","[1.0, 0.0]"
"[0.05962197482585907, -0.3327614367008209, -0.021929485723376274, 0.27904367446899414]","[0.0, 1.0]"
"[0.05296674743294716, -0.13733364641666412, -0.016348613426089287, -0.020474305376410484]","[0.0, 1.0]"
"[0.050220075994729996, 0.05801890417933464, -0.01675809919834137, -0.3182702362537384]","[1.0, 0.0]"
"[0.051380451768636703, -0.1368604153394699, -0.02312350459396839, -0.030918970704078674]","[1.0, 0.0]"
"[0.048643242567777634, -0.3316432535648346, -0.023741882294416428, 0.2543794810771942]","[0.0, 1.0]"
"[0.04201037809252739, -0.1361905038356781, -0.018654294312000275, -0.04569648206233978]","[1.0, 0.0]"
"[0.03928656876087189, -0.33104005455970764, -0.019568223506212234, 0.24104295670986176]","[0.0, 1.0]"
"[0.03266576677560806, -0.1356441229581833, -0.01474736351519823, -0.05774751678109169]","[0.0, 1.0]"
"[0.0299528855830431, 0.05968613922595978, -0.015902314335107803, -0.3550466299057007]","[1.0, 0.0]"
"[0.031146608293056488, -0.13520613312721252, -0.023003246635198593, -0.06742025166749954]","[1.0, 0.0]"
"[0.028442485257983208, -0.32999086380004883, -0.02435165084898472, 0.21791718900203705]","[0.0, 1.0]"
"[0.02184266783297062, -0.13452942669391632, -0.019993307068943977, -0.08234672993421555]","[1.0, 0.0]"
"[0.0191520806401968, -0.32935914397239685, -0.021640243008732796, 0.2039618194103241]","[0.0, 1.0]"
"[0.01256489660590887, -0.13393451273441315, -0.01756100542843342, -0.09546823054552078]","[1.0, 0.0]"
"[0.00988620612770319, -0.3288004398345947, -0.019470371305942535, 0.19162289798259735]","[0.0, 1.0]"
"[0.0033101977314800024, -0.1334054321050644, -0.015637913718819618, -0.10713797807693481]","[1.0, 0.0]"
"[0.0006420891149900854, -0.3282998502254486, -0.017780672758817673, 0.18057052791118622]","[0.0, 1.0]"
"[-0.005923907738178968, -0.1329280287027359, -0.014169261790812016, -0.11766810715198517]","[1.0, 0.0]"
"[-0.008582468144595623, -0.32784411311149597, -0.016522623598575592, 0.17051106691360474]","[0.0, 1.0]"
"[-0.015139350667595863, -0.1324896216392517, -0.013112402521073818, -0.12733811140060425]","[1.0, 0.0]"
"[-0.017789142206311226, -0.32742130756378174, -0.015659164637327194, 0.1611793339252472]","[0.0, 1.0]"
"[-0.024337569251656532, -0.13207872211933136, -0.012435578741133213, -0.13640223443508148]","[1.0, 0.0]"
"[-0.026979142799973488, -0.3270203471183777, -0.015163622796535492, 0.1523316651582718]","[0.0, 1.0]"
"[-0.033519551157951355, -0.13168460130691528, -0.012116990052163601, -0.14509622752666473]","[1.0, 0.0]"
"[-0.036153241991996765, -0.32663094997406006, -0.015018913894891739, 0.1437395215034485]","[0.0, 1.0]"
"[-0.0426858626306057, -0.13129717111587524, -0.012144124135375023, -0.15364350378513336]","[1.0, 0.0]"
"[-0.04531180486083031, -0.326243132352829, -0.015216994099318981, 0.13518361747264862]","[0.0, 1.0]"
"[-0.05183666944503784, -0.1309065818786621, -0.012513321824371815, -0.16226093471050262]","[1.0, 0.0]"
"[-0.05445479974150658, -0.32584717869758606, -0.015758540481328964, 0.12644824385643005]","[0.0, 1.0]"
"[-0.06097174435853958, -0.13050305843353271, -0.01322957593947649, -0.1711643785238266]","[1.0, 0.0]"
"[-0.06358180195093155, -0.3254331648349762, -0.01665286347270012, 0.11731584370136261]","[0.0, 1.0]"
"[-0.07009046524763107, -0.13007663190364838, -0.014306546188890934, -0.18057405948638916]","[1.0, 0.0]"
"[-0.07269199937582016, -0.3249909579753876, -0.017918027937412262, 0.10756154358386993]","[0.0, 1.0]"
"[-0.07919181883335114, -0.1296169012784958, -0.015766795724630356, -0.19072014093399048]","[1.0, 0.0]"
"[-0.08178415894508362, -0.32450976967811584, -0.019581198692321777, 0.09694760292768478]","[0.0, 1.0]"
"[-0.08827435225248337, -0.12911273539066315, -0.017642246559262276, -0.20184828341007233]","[1.0, 0.0]"
"[-0.09085660427808762, -0.3239779770374298, -0.021679213270545006, 0.08521756529808044]","[0.0, 1.0]"
"[-0.09733616560697556, -0.12855209410190582, -0.019974861294031143, -0.21422557532787323]","[1.0, 0.0]"
"[-0.09990721195936203, -0.3233828544616699, -0.024259373545646667, 0.0720900446176529]","[0.0, 1.0]"
"[-0.10637486726045609, -0.1279216706752777, -0.022817572578787804, -0.22814702987670898]","[1.0, 0.0]"
"[-0.10893329977989197, -0.322710245847702, -0.02738051302731037, 0.057251982390880585]","[0.0, 1.0]"
"[-0.11538750678300858, -0.12720660865306854, -0.026235472410917282, -0.24394239485263824]","[1.0, 0.0]"
"[-0.11793163418769836, -0.3219442069530487, -0.03111432120203972, 0.04035111516714096]","[1.0, 0.0]"
"[-0.1243705227971077, -0.5166065096855164, -0.03030729852616787, 0.32305705547332764]","[0.0, 1.0]"
"[-0.1347026526927948, -0.32106637954711914, -0.023846156895160675, 0.020972616970539093]","[1.0, 0.0]"
"[-0.14112398028373718, -0.5158383846282959, -0.023426705971360207, 0.30603745579719543]","[0.0, 1.0]"
"[-0.15144073963165283, -0.3203905522823334, -0.017305955290794373, 0.0060593499802052975]","[1.0, 0.0]"
"[-0.1578485518693924, -0.5152601003646851, -0.017184769734740257, 0.2932322025299072]","[0.0, 1.0]"
"[-0.1681537628173828, -0.3198973834514618, -0.011320125311613083, -0.004820656962692738]","[1.0, 0.0]"
"[-0.17455171048641205, -0.5148552060127258, -0.011416538618505001, 0.284269243478775]","[0.0, 1.0]"
"[-0.184848815202713, -0.3195722699165344, -0.005731153767555952, -0.011992410756647587]","[1.0, 0.0]"
"[-0.19124025106430054, -0.5146116018295288, -0.005971001926809549, 0.27887678146362305]","[0.0, 1.0]"
"[-0.2015324831008911, -0.3194049596786499, -0.000393466412788257, -0.015683401376008987]","[0.0, 1.0]"
"[-0.20792058110237122, -0.12427736073732376, -0.0007071344298310578, -0.30849045515060425]","[1.0, 0.0]"
"[-0.2104061394929886, -0.3193892240524292, -0.006876943167299032, -0.01603061333298683]","[1.0, 0.0]"
"[-0.21679392457008362, -0.5144118666648865, -0.007197555620223284, 0.2744746506214142]","[0.0, 1.0]"
"[-0.22708216309547424, -0.3191879987716675, -0.0017080627148970962, -0.020469684153795242]","[1.0, 0.0]"
"[-0.23346590995788574, -0.5142853856086731, -0.002117456402629614, 0.2716738283634186]","[0.0, 1.0]"
"[-0.2437516301870346, -0.31913331151008606, 0.0033160203602164984, -0.021676188334822655]","[1.0, 0.0]"
"[-0.25013428926467896, -0.514302670955658, 0.0028824966866523027, 0.2720511257648468]","[0.0, 1.0]"
"[-0.2604203522205353, -0.31922194361686707, 0.008323519490659237, -0.019721250981092453]","[0.0, 1.0]"
"[-0.2668047845363617, -0.1242203488945961, 0.007929094135761261, -0.3097664415836334]","[1.0, 0.0]"
"[-0.26928919553756714, -0.3194543719291687, 0.0017337657045572996, -0.014593477360904217]","[1.0, 0.0]"
"[-0.27567827701568604, -0.5146011114120483, 0.0014418960781767964, 0.27863597869873047]","[0.0, 1.0]"
"[-0.2859703004360199, -0.31949979066848755, 0.007014615461230278, -0.013591837137937546]","[1.0, 0.0]"
"[-0.2923603057861328, -0.5147216320037842, 0.006742778699845076, 0.2812960147857666]","[0.0, 1.0]"
"[-0.3026547133922577, -0.3196965157985687, 0.012368698604404926, -0.009252671152353287]","[0.0, 1.0]"
"[-0.3090486526489258, -0.12475410103797913, 0.012183645740151405, -0.298007607460022]","[1.0, 0.0]"
"[-0.311543732881546, -0.3200475871562958, 0.006223493255674839, -0.0015072098467499018]","[1.0, 0.0]"
"[-0.3179447054862976, -0.515258252620697, 0.00619334913790226, 0.2931327819824219]","[0.0, 1.0]"
"[-0.32824984192848206, -0.32022514939308167, 0.01205600518733263, 0.002409577602520585]","[0.0, 1.0]"
"[-0.3346543610095978, -0.12527814507484436, 0.012104196473956108, -0.286445289850235]","[1.0, 0.0]"
"[-0.3371599316596985, -0.32057061791419983, 0.006375290919095278, 0.010030500590801239]","[1.0, 0.0]"
"[-0.34357133507728577, -0.515783429145813, 0.006575900595635176, 0.3047180771827698]","[0.0, 1.0]"
"[-0.35388699173927307, -0.3207557797431946, 0.012670261785387993, 0.014116259291768074]","[0.0, 1.0]"
"[-0.3603021204471588, -0.12581780552864075, 0.012952587567269802, -0.27454227209091187]","[1.0, 0.0]"
"[-0.36281847953796387, -0.3211221396923065, 0.007461742032319307, 0.02219761721789837]","[1.0, 0.0]"
"[-0.3692409098148346, -0.5163503289222717, 0.007905694656074047, 0.3172254264354706]","[0.0, 1.0]"
"[-0.3795679211616516, -0.3213418424129486, 0.014250203035771847, 0.027046136558055878]","[0.0, 1.0]"
"[-0.3859947621822357, -0.12642712891101837, 0.014791125431656837, -0.26110684871673584]","[1.0, 0.0]"
"[-0.38852331042289734, -0.321757048368454, 0.009568988345563412, 0.03620443865656853]","[1.0, 0.0]"
"[-0.3949584364891052, -0.5170149207115173, 0.010293077677488327, 0.3318910598754883]","[0.0, 1.0]"
"[-0.40529873967170715, -0.32204097509384155, 0.016930898651480675, 0.0424717515707016]","[0.0, 1.0]"
"[-0.4117395579814911, -0.12716585397720337, 0.017780333757400513, -0.24482159316539764]","[1.0, 0.0]"
"[-0.414282888174057, -0.3225371837615967, 0.012883901596069336, 0.05341622605919838]","[1.0, 0.0]"
"[-0.42073363065719604, -0.5178414583206177, 0.013952226378023624, 0.3501361310482025]","[0.0, 1.0]"
"[-0.43109044432640076, -0.32292070984840393, 0.020954947918653488, 0.06188523769378662]","[0.0, 1.0]"
"[-0.4375488758087158, -0.12810537219047546, 0.02219265326857567, -0.22411330044269562]","[1.0, 0.0]"
"[-0.440110981464386, -0.3235373795032501, 0.017710387706756592, 0.07548660039901733]","[0.0, 1.0]"
"[-0.44658172130584717, -0.1286737322807312, 0.01922011934220791, -0.21155643463134766]","[1.0, 0.0]"
"[-0.44915518164634705, -0.3240651488304138, 0.014988990500569344, 0.08712691068649292]","[1.0, 0.0]"
"[-0.45563650131225586, -0.5193986892700195, 0.01673152856528759, 0.3845009505748749]","[0.0, 1.0]"
"[-0.4660244584083557, -0.32451823353767395, 0.02442154847085476, 0.09713999927043915]","[0.0, 1.0]"
"[-0.4725148379802704, -0.1297546625137329, 0.026364346966147423, -0.1877390295267105]","[1.0, 0.0]"
"[-0.47510993480682373, -0.32524368166923523, 0.022609567269682884, 0.11314283311367035]","[0.0, 1.0]"
"[-0.4816147983074188, -0.13045288622379303, 0.024872424080967903, -0.17232204973697662]","[1.0, 0.0]"
"[-0.484223872423172, -0.32592183351516724, 0.02142598293721676, 0.12810242176055908]","[0.0, 1.0]"
"[-0.4907422959804535, -0.13111326098442078, 0.0239880308508873, -0.1577446013689041]","[1.0, 0.0]"
"[-0.4933645725250244, -0.3265703022480011, 0.02083313837647438, 0.14240840077400208]","[0.0, 1.0]"
"[-0.49989596009254456, -0.13175280392169952, 0.023681307211518288, -0.14362990856170654]","[1.0, 0.0]"
"[-0.5025310516357422, -0.3272057771682739, 0.020808709785342216, 0.1564289629459381]","[0.0, 1.0]"
"[-0.5090751647949219, -0.13238783180713654, 0.02393728867173195, -0.1296173483133316]","[1.0, 0.0]"
"[-0.5117229223251343, -0.3278443515300751, 0.02134494110941887, 0.1705203354358673]","[0.0, 1.0]"
"[-0.5182797908782959, -0.13303431868553162, 0.02475534752011299, -0.11535321176052094]","[1.0, 0.0]"
"[-0.5209404826164246, -0.3285020589828491, 0.022448284551501274, 0.18503589928150177]","[0.0, 1.0]"
"[-0.5275105237960815, -0.1337083876132965, 0.026149002835154533, -0.10048177093267441]","[1.0, 0.0]"
"[-0.5301846861839294, -0.32919514179229736, 0.024139367043972015, 0.2003350555896759]","[0.0, 1.0]"
"[-0.5367685556411743, -0.13442660868167877, 0.02814606763422489, -0.08463634550571442]","[1.0, 0.0]"
"[-0.5394571423530579, -0.32994046807289124, 0.02645334042608738, 0.21679215133190155]","[0.0, 1.0]"
"[-0.5460559129714966, -0.13520647585391998, 0.03078918345272541, -0.06743026524782181]","[1.0, 0.0]"
"[-0.5487600564956665, -0.3307560086250305, 0.02944057807326317, 0.2348056137561798]","[0.0, 1.0]"
"[-0.5553751587867737, -0.13606680929660797, 0.03413669019937515, -0.0484473817050457]","[1.0, 0.0]"
"[-0.5580965280532837, -0.331661194562912, 0.03316774219274521, 0.2548075020313263]","[0.0, 1.0]"
"[-0.5647297501564026, -0.13702812790870667, 0.038263894617557526, -0.027231981977820396]","[1.0, 0.0]"
"[-0.5674703121185303, -0.33267733454704285, 0.037719253450632095, 0.27727383375167847]","[0.0, 1.0]"
"[-0.5741238594055176, -0.13811323046684265, 0.043264731764793396, -0.003277889220044017]","[0.0, 1.0]"
"[-0.5768861174583435, 0.056362394243478775, 0.04319917410612106, -0.2820024788379669]","[1.0, 0.0]"
"[-0.5757588744163513, -0.13934826850891113, 0.03755912184715271, 0.02398623153567314]","[0.0, 1.0]"
"[-0.5785458087921143, 0.05521548539400101, 0.03803884610533714, -0.2566137909889221]","[1.0, 0.0]"
"[-0.5774415135383606, -0.1404283195734024, 0.03290657326579094, 0.04782036691904068]","[0.0, 1.0]"
"[-0.580250084400177, 0.05420669540762901, 0.03386297821998596, -0.23430132865905762]","[1.0, 0.0]"
"[-0.5791659355163574, -0.14138230681419373, 0.029176952317357063, 0.06886780261993408]","[0.0, 1.0]"
"[-0.581993579864502, 0.053309448063373566, 0.030554309487342834, -0.21446873247623444]","[1.0, 0.0]"
"[-0.5809274315834045, -0.14223569631576538, 0.026264933869242668, 0.08769365400075912]","[0.0, 1.0]"
"[-0.5837721228599548, 0.05250011757016182, 0.028018807992339134, -0.19658832252025604]","[1.0, 0.0]"
"[-0.5827221274375916, -0.1430111676454544, 0.02408704161643982, 0.10479995608329773]","[0.0, 1.0]"
"[-0.5855823159217834, 0.051757462322711945, 0.02618304081261158, -0.18018734455108643]","[1.0, 0.0]"
"[-0.5845471620559692, -0.14372919499874115, 0.022579293698072433, 0.12063906341791153]","[0.0, 1.0]"
"[-0.5874217748641968, 0.05106210708618164, 0.024992074817419052, -0.16483566164970398]","[1.0, 0.0]"
"[-0.5864005088806152, -0.14440852403640747, 0.021695362403988838, 0.13562563061714172]","[0.0, 1.0]"
"[-0.5892887115478516, 0.050396062433719635, 0.024407874792814255, -0.15013454854488373]","[1.0, 0.0]"
"[-0.5882807970046997, -0.1450667381286621, 0.021405182778835297, 0.15014752745628357]","[0.0, 1.0]"
"[-0.5911821126937866, 0.04974226653575897, 0.024408133700489998, -0.13570639491081238]","[1.0, 0.0]"
"[-0.5901872515678406, -0.14572063088417053, 0.021694006398320198, 0.16457590460777283]","[0.0, 1.0]"
"[-0.5931016802787781, 0.04908415302634239, 0.024985523894429207, -0.12118498235940933]","[1.0, 0.0]"
"[-0.5921199917793274, -0.14638669788837433, 0.022561825811862946, 0.1792747527360916]","[0.0, 1.0]"
"[-0.5950477123260498, 0.048405252397060394, 0.026147320866584778, -0.10620618611574173]","[1.0, 0.0]"
"[-0.5940796136856079, -0.14708144962787628, 0.02402319572865963, 0.19461007416248322]","[0.0, 1.0]"
"[-0.5970212817192078, 0.047688767313957214, 0.02791539765894413, -0.09039881080389023]","[1.0, 0.0]"
"[-0.596067488193512, -0.14782196283340454, 0.0261074211448431, 0.2109590768814087]","[0.0, 1.0]"
"[-0.5990239381790161, 0.04691717028617859, 0.0303266029804945, -0.07337535917758942]","[1.0, 0.0]"
"[-0.5980855822563171, -0.14862613379955292, 0.0288590956479311, 0.22871936857700348]","[0.0, 1.0]"
"[-0.6010581254959106, 0.04607178270816803, 0.03343348205089569, -0.05472249165177345]","[1.0, 0.0]"
"[-0.6001366376876831, -0.14951321482658386, 0.032339032739400864, 0.2483186572790146]","[0.0, 1.0]"
"[-0.6031269431114197, 0.04513233155012131, 0.03730540722608566, -0.03399098291993141]","[0.0, 1.0]"
"[-0.6022242903709412, 0.23970000445842743, 0.036625586450099945, -0.31467416882514954]","[1.0, 0.0]"
"[-0.5974302887916565, 0.04407598823308945, 0.030332103371620178, -0.010669433511793613]","[0.0, 1.0]"
"[-0.5965487360954285, 0.23875010013580322, 0.03011871501803398, -0.2936300039291382]","[1.0, 0.0]"
"[-0.5917737483978271, 0.04321197047829628, 0.024246113374829292, 0.008397718891501427]","[0.0, 1.0]"
"[-0.5909095406532288, 0.23797796666622162, 0.024414068087935448, -0.2765377461910248]","[1.0, 0.0]"
"[-0.5861499905586243, 0.04251635819673538, 0.018883313983678818, 0.023744316771626472]","[0.0, 1.0]"
"[-0.5852996110916138, 0.23736248910427094, 0.019358200952410698, -0.26292139291763306]","[1.0, 0.0]"
"[-0.5805523991584778, 0.04196964204311371, 0.014099772088229656, 0.0358039028942585]","[0.0, 1.0]"
"[-0.579712986946106, 0.23688659071922302, 0.01481585018336773, -0.2523972690105438]","[1.0, 0.0]"
"[-0.5749752521514893, 0.04155625030398369, 0.009767904877662659, 0.044921793043613434]","[0.0, 1.0]"
"[-0.5741441249847412, 0.23653678596019745, 0.010666340589523315, -0.2446633279323578]","[1.0, 0.0]"
"[-0.569413423538208, 0.0412641204893589, 0.005773073993623257, 0.05136484280228615]","[0.0, 1.0]"
"[-0.568588137626648, 0.23630282282829285, 0.006800370756536722, -0.2394910603761673]","[1.0, 0.0]"
"[-0.5638620853424072, 0.04108438268303871, 0.002010549884289503, 0.05532912164926529]","[0.0, 1.0]"
"[-0.5630403757095337, 0.2361774444580078, 0.003117132233455777, -0.2367187887430191]","[1.0, 0.0]"
"[-0.5583168268203735, 0.04101110249757767, -0.0016172433970496058, 0.05694574862718582]","[1.0, 0.0]"
"[-0.5574966073036194, -0.1540876179933548, -0.0004783285257872194, 0.3491179943084717]","[0.0, 1.0]"
"[-0.5605783462524414, 0.04104112833738327, 0.006504031363874674, 0.056284260004758835]","[0.0, 1.0]"
"[-0.5597575306892395, 0.2360692173242569, 0.00762971630319953, -0.23433952033519745]","[1.0, 0.0]"
"[-0.5550361275672913, 0.04083909094333649, 0.0029429260175675154, 0.06074026599526405]","[0.0, 1.0]"
"[-0.5542193651199341, 0.23591873049736023, 0.004157731309533119, -0.23101270198822021]","[1.0, 0.0]"
"[-0.5495010018348694, 0.040737610310316086, -0.00046252270112745464, 0.06297881156206131]","[0.0, 1.0]"
"[-0.5486862659454346, 0.23586618900299072, 0.0007970535662025213, -0.22985000908374786]","[1.0, 0.0]"
"[-0.543968915939331, 0.04073285683989525, -0.0037999465130269527, 0.06308422982692719]","[0.0, 1.0]"
"[-0.543154239654541, 0.2359090894460678, -0.0025382619351148605, -0.23079517483711243]","[1.0, 0.0]"
"[-0.5384360551834106, 0.040823496878147125, -0.007154165301471949, 0.0610860176384449]","[0.0, 1.0]"
"[-0.5376195907592773, 0.23604728281497955, -0.0059324451722204685, -0.23384548723697662]","[1.0, 0.0]"
"[-0.5328986644744873, 0.041010599583387375, -0.010609354823827744, 0.056960269808769226]","[1.0, 0.0]"
"[-0.5320784449577332, -0.15395763516426086, -0.00947014894336462, 0.3462770879268646]","[0.0, 1.0]"
"[-0.5351576209068298, 0.041297733783721924, -0.0025446077343076468, 0.05062297359108925]","[0.0, 1.0]"
"[-0.5343316197395325, 0.23645608127117157, -0.0015321483369916677, -0.24286171793937683]","[1.0, 0.0]"
"[-0.5296025276184082, 0.04135604575276375, -0.006389382760971785, 0.049337539821863174]","[0.0, 1.0]"
"[-0.5287753939628601, 0.23656903207302094, -0.005402631592005491, -0.24535442888736725]","[1.0, 0.0]"
"[-0.5240440368652344, 0.04152465611696243, -0.010309720411896706, 0.04561949893832207]","[1.0, 0.0]"
"[-0.5232135057449341, -0.1534479558467865, -0.009397330693900585, 0.3350318670272827]","[0.0, 1.0]"
"[-0.5262824892997742, 0.04180647060275078, -0.002696692943572998, 0.039400387555360794]","[0.0, 1.0]"
"[-0.525446355342865, 0.23696698248386383, -0.0019086850807070732, -0.25413215160369873]","[1.0, 0.0]"
"[-0.5207070112228394, 0.04187234118580818, -0.006991328205913305, 0.037948135286569595]","[0.0, 1.0]"
"[-0.5198695659637451, 0.23709385097026825, -0.006232365500181913, -0.25693240761756897]","[1.0, 0.0]"
