observation,action
"[-0.02099810168147087, -0.013925828039646149, -0.027836216613650322, -0.0201694518327713]","[1.0, 0.0]"
"[-0.021276619285345078, -0.20863774418830872, -0.028239605948328972, 0.26360249519348145]","[0.0, 1.0]"
"[-0.025449372828006744, -0.013124334625899792, -0.02296755649149418, -0.03785204142332077]","[1.0, 0.0]"
"[-0.02571186050772667, -0.20790952444076538, -0.023724596947431564, 0.2474968284368515]","[1.0, 0.0]"
"[-0.0298700500279665, -0.40268474817276, -0.01877466030418873, 0.5326030850410461]","[1.0, 0.0]"
"[-0.037923745810985565, -0.5975376963615417, -0.008122598752379417, 0.8193114995956421]","[0.0, 1.0]"
"[-0.049874499440193176, -0.4023055136203766, 0.008263631723821163, 0.5240849256515503]","[0.0, 1.0]"
"[-0.057920608669519424, -0.2073008269071579, 0.01874532923102379, 0.23401735723018646]","[0.0, 1.0]"
"[-0.06206662580370903, -0.012451658956706524, 0.02342567779123783, -0.052694253623485565]","[1.0, 0.0]"
"[-0.06231566146016121, -0.20790153741836548, 0.022371791303157806, 0.24728664755821228]","[1.0, 0.0]"
"[-0.06647369265556335, -0.40333572030067444, 0.027317525818943977, 0.546941339969635]","[0.0, 1.0]"
"[-0.0745404064655304, -0.208608016371727, 0.03825635090470314, 0.2629891037940979]","[1.0, 0.0]"
"[-0.0787125676870346, -0.4042545557022095, 0.0435161329805851, 0.5674887895584106]","[0.0, 1.0]"
"[-0.08679765462875366, -0.20976917445659637, 0.05486591160297394, 0.2888266146183014]","[1.0, 0.0]"
"[-0.09099303930997849, -0.40562883019447327, 0.06064244359731674, 0.5982965230941772]","[0.0, 1.0]"
"[-0.09910561889410019, -0.21140550076961517, 0.07260837405920029, 0.3253149688243866]","[0.0, 1.0]"
"[-0.1033337265253067, -0.017388422042131424, 0.07911467552185059, 0.05638428032398224]","[0.0, 1.0]"
"[-0.10368149727582932, 0.17651526629924774, 0.08024235814809799, -0.21032601594924927]","[0.0, 1.0]"
"[-0.1001511886715889, 0.3704036474227905, 0.07603583484888077, -0.47665685415267944]","[0.0, 1.0]"
"[-0.09274311363697052, 0.5643742680549622, 0.06650269776582718, -0.7444391250610352]","[1.0, 0.0]"
"[-0.08145563304424286, 0.3684006631374359, 0.05161391943693161, -0.43159109354019165]","[1.0, 0.0]"
"[-0.07408761978149414, 0.1725873053073883, 0.04298209771513939, -0.12309446185827255]","[0.0, 1.0]"
"[-0.07063587009906769, 0.36706796288490295, 0.04052020609378815, -0.4019131362438202]","[1.0, 0.0]"
"[-0.06329451501369476, 0.17139539122581482, 0.03248194605112076, -0.09673555940389633]","[0.0, 1.0]"
"[-0.05986660346388817, 0.3660371005535126, 0.030547233298420906, -0.3789961040019989]","[1.0, 0.0]"
"[-0.05254586413502693, 0.17049497365951538, 0.02296731062233448, -0.07684024423360825]","[1.0, 0.0]"
"[-0.0491359643638134, -0.02494857646524906, 0.02143050543963909, 0.22299955785274506]","[1.0, 0.0]"
"[-0.04963493347167969, -0.22037017345428467, 0.025890497490763664, 0.5223647356033325]","[0.0, 1.0]"
"[-0.05404233932495117, -0.025622021406888962, 0.03633779287338257, 0.2379513531923294]","[1.0, 0.0]"
"[-0.0545547790825367, -0.221243754029274, 0.04109681770205498, 0.541871190071106]","[1.0, 0.0]"
"[-0.05897965282201767, -0.41691848635673523, 0.051934242248535156, 0.8472145199775696]","[1.0, 0.0]"
"[-0.06731802225112915, -0.6127089858055115, 0.06887853145599365, 1.1557661294937134]","[0.0, 1.0]"
"[-0.07957220077514648, -0.4185492992401123, 0.09199385344982147, 0.8854514956474304]","[0.0, 1.0]"
"[-0.0879431888461113, -0.224788635969162, 0.10970288515090942, 0.6230474710464478]","[1.0, 0.0]"
"[-0.0924389585852623, -0.42125749588012695, 0.12216383218765259, 0.9481672048568726]","[1.0, 0.0]"
"[-0.10086411237716675, -0.6177936792373657, 0.14112718403339386, 1.2766011953353882]","[1.0, 0.0]"
"[-0.1132199838757515, -0.8144045472145081, 0.16665920615196228, 1.6099393367767334]","[1.0, 0.0]"
"[-0.12950807809829712, -1.0110571384429932, 0.19885799288749695, 1.949602484703064]","[0.0, 1.0]"
"[0.00396830216050148, -0.010347474366426468, -0.04028027504682541, -0.005345118697732687]","[0.0, 1.0]"
"[0.0037613525055348873, 0.18532830476760864, -0.04038717970252037, -0.3104599118232727]","[1.0, 0.0]"
"[0.007467918563634157, -0.009195650927722454, -0.046596378087997437, -0.030782511457800865]","[0.0, 1.0]"
"[0.0072840056382119656, 0.18656247854232788, -0.04721202701330185, -0.33779534697532654]","[0.0, 1.0]"
"[0.011015255004167557, 0.38232335448265076, -0.05396793410181999, -0.6449846625328064]","[1.0, 0.0]"
"[0.018661722540855408, 0.1879933625459671, -0.06686762720346451, -0.36977294087409973]","[1.0, 0.0]"
"[0.022421589121222496, -0.006117971148341894, -0.0742630884051323, -0.09890107810497284]","[0.0, 1.0]"
"[0.022299230098724365, 0.18998540937900543, -0.07624110579490662, -0.4140586853027344]","[1.0, 0.0]"
"[0.026098938658833504, -0.003977765329182148, -0.08452228456735611, -0.14635226130485535]","[1.0, 0.0]"
"[0.0260193832218647, -0.19779400527477264, -0.0874493271112442, 0.11851426213979721]","[1.0, 0.0]"
"[0.02206350304186344, -0.39156123995780945, -0.08507904410362244, 0.38237711787223816]","[1.0, 0.0]"
"[0.014232277870178223, -0.5853786468505859, -0.07743149995803833, 0.6470685601234436]","[1.0, 0.0]"
"[0.0025247058365494013, -0.7793412208557129, -0.06449012458324432, 0.9143985509872437]","[0.0, 1.0]"
"[-0.013062117621302605, -0.5834090113639832, -0.0462021566927433, 0.6021642684936523]","[0.0, 1.0]"
"[-0.024730298668146133, -0.3876723051071167, -0.034158870577812195, 0.295293927192688]","[1.0, 0.0]"
"[-0.032483745366334915, -0.5822910666465759, -0.028252992779016495, 0.577010989189148]","[1.0, 0.0]"
"[-0.044129565358161926, -0.7770058512687683, -0.016712773591279984, 0.8606613278388977]","[0.0, 1.0]"
"[-0.05966968461871147, -0.5816603302955627, 0.0005004527629353106, 0.5627706050872803]","[0.0, 1.0]"
"[-0.07130289077758789, -0.3865453898906708, 0.011755865067243576, 0.27024540305137634]","[1.0, 0.0]"
"[-0.07903379946947098, -0.5818331241607666, 0.017160773277282715, 0.5666128993034363]","[0.0, 1.0]"
"[-0.09067045897245407, -0.38695603609085083, 0.028493031859397888, 0.27938535809516907]","[0.0, 1.0]"
"[-0.09840957820415497, -0.19225189089775085, 0.034080736339092255, -0.0041765072382986546]","[1.0, 0.0]"
"[-0.10225461423397064, -0.38784560561180115, 0.03399720788002014, 0.29906150698661804]","[0.0, 1.0]"
"[-0.11001153290271759, -0.19322435557842255, 0.03997843712568283, 0.01729154773056507]","[1.0, 0.0]"
"[-0.11387601494789124, -0.3888961672782898, 0.040324270725250244, 0.3223152756690979]","[1.0, 0.0]"
"[-0.12165393680334091, -0.584568440914154, 0.046770572662353516, 0.6274372339248657]","[0.0, 1.0]"
"[-0.13334530591964722, -0.390129417181015, 0.05931931734085083, 0.3498431444168091]","[0.0, 1.0]"
"[-0.1411478966474533, -0.19589905440807343, 0.06631617993116379, 0.07643971592187881]","[0.0, 1.0]"
"[-0.14506587386131287, -0.0017873883480206132, 0.06784497946500778, -0.19460509717464447]","[0.0, 1.0]"
"[-0.1451016217470169, 0.19230177998542786, 0.06395287066698074, -0.46513795852661133]","[0.0, 1.0]"
"[-0.14125558733940125, 0.38646450638771057, 0.054650112986564636, -0.7369973659515381]","[1.0, 0.0]"
"[-0.1335262954235077, 0.19063206017017365, 0.03991016745567322, -0.4276280701160431]","[1.0, 0.0]"
"[-0.12971365451812744, -0.005031738430261612, 0.03135760501027107, -0.1226356029510498]","[1.0, 0.0]"
"[-0.1298142969608307, -0.20058858394622803, 0.02890489436686039, 0.17977307736873627]","[1.0, 0.0]"
"[-0.13382606208324432, -0.39611199498176575, 0.03250035643577576, 0.4814325273036957]","[0.0, 1.0]"
"[-0.141748309135437, -0.2014634907245636, 0.04212900623679161, 0.199167400598526]","[1.0, 0.0]"
"[-0.14577756822109222, -0.39716190099716187, 0.04611235484480858, 0.5048367977142334]","[0.0, 1.0]"
"[-0.15372081100940704, -0.2027190923690796, 0.05620909109711647, 0.22703486680984497]","[1.0, 0.0]"
"[-0.15777519345283508, -0.3985974192619324, 0.06074978783726692, 0.53690505027771]","[0.0, 1.0]"
"[-0.16574713587760925, -0.2043798565864563, 0.07148788869380951, 0.2639656364917755]","[0.0, 1.0]"
"[-0.16983473300933838, -0.010347241535782814, 0.076767198741436, -0.00534037733450532]","[0.0, 1.0]"
"[-0.17004168033599854, 0.18359461426734924, 0.0766603946685791, -0.2728489935398102]","[0.0, 1.0]"
"[-0.16636979579925537, 0.37754377722740173, 0.07120341807603836, -0.5404021739959717]","[0.0, 1.0]"
"[-0.15881891548633575, 0.5715963840484619, 0.06039537116885185, -0.809827446937561]","[1.0, 0.0]"
"[-0.14738698303699493, 0.37570124864578247, 0.04419882223010063, -0.49877503514289856]","[1.0, 0.0]"
"[-0.1398729681968689, 0.1799849271774292, 0.034223321825265884, -0.19249702990055084]","[0.0, 1.0]"
"[-0.13627326488494873, 0.37460100650787354, 0.030373379588127136, -0.47419053316116333]","[0.0, 1.0]"
"[-0.1287812441587448, 0.5692811608314514, 0.02088956907391548, -0.7571476697921753]","[1.0, 0.0]"
"[-0.11739562451839447, 0.373877614736557, 0.0057466160506010056, -0.457965224981308]","[1.0, 0.0]"
"[-0.10991807281970978, 0.17867490649223328, -0.0034126881510019302, -0.16347648203372955]","[1.0, 0.0]"
"[-0.10634457319974899, -0.016398020088672638, -0.006682218052446842, 0.12812787294387817]","[0.0, 1.0]"
"[-0.10667253285646439, 0.17881901562213898, -0.0041196602396667, -0.16665570437908173]","[1.0, 0.0]"
"[-0.10309614986181259, -0.016243724152445793, -0.007452774327248335, 0.12472475320100784]","[1.0, 0.0]"
"[-0.10342102497816086, -0.21125811338424683, -0.0049582794308662415, 0.4150471091270447]","[0.0, 1.0]"
"[-0.10764618963003159, -0.01606624200940132, 0.0033426631707698107, 0.12080518156290054]","[1.0, 0.0]"
"[-0.10796751081943512, -0.2112359255552292, 0.005758766550570726, 0.4145407974720001]","[1.0, 0.0]"
"[-0.11219222843647003, -0.40643903613090515, 0.014049583114683628, 0.7090336680412292]","[0.0, 1.0]"
"[-0.12032101303339005, -0.2115144580602646, 0.028230255469679832, 0.4208061397075653]","[1.0, 0.0]"
"[-0.12455130368471146, -0.4070248007774353, 0.03664637729525566, 0.7222533822059631]","[1.0, 0.0]"
"[-0.13269180059432983, -0.6026339530944824, 0.05109144747257233, 1.0262417793273926]","[1.0, 0.0]"
"[-0.14474447071552277, -0.7983975410461426, 0.0716162845492363, 1.334518313407898]","[1.0, 0.0]"
"[-0.16071242094039917, -0.9943453073501587, 0.09830664843320847, 1.6487237215042114]","[0.0, 1.0]"
"[-0.18059933185577393, -0.8005005121231079, 0.13128112256526947, 1.3882160186767578]","[0.0, 1.0]"
"[-0.19660934805870056, -0.6072359681129456, 0.15904544293880463, 1.1392996311187744]","[1.0, 0.0]"
"[-0.2087540626525879, -0.8040388226509094, 0.18183143436908722, 1.4773406982421875]","[1.0, 0.0]"
"[0.020038701593875885, -0.03648555651307106, -0.023536372929811478, -0.008440162986516953]","[1.0, 0.0]"
"[0.019308989867568016, -0.2312621921300888, -0.023705177009105682, 0.27672481536865234]","[0.0, 1.0]"
"[0.014683746732771397, -0.035810209810733795, -0.018170680850744247, -0.02333945780992508]","[0.0, 1.0]"
"[0.013967541977763176, 0.15956754982471466, -0.01863746903836727, -0.3216995894908905]","[1.0, 0.0]"
"[0.01715889386832714, -0.03528410568833351, -0.025071460753679276, -0.03495198115706444]","[0.0, 1.0]"
"[0.01645321026444435, 0.1601882427930832, -0.02577050030231476, -0.3354385793209076]","[0.0, 1.0]"
"[0.01965697668492794, 0.3556672930717468, -0.03247927129268646, -0.636135458946228]","[0.0, 1.0]"
"[0.026770321652293205, 0.551226794719696, -0.04520198330283165, -0.9388672709465027]","[0.0, 1.0]"
"[0.03779485821723938, 0.7469280362129211, -0.06397932767868042, -1.2454041242599487]","[1.0, 0.0]"
"[0.052733417600393295, 0.5526825189590454, -0.08888740837574005, -0.9734290242195129]","[1.0, 0.0]"
"[0.0637870654463768, 0.3588583171367645, -0.10835599154233932, -0.7099390625953674]","[1.0, 0.0]"
"[0.07096423208713531, 0.16539058089256287, -0.12255477160215378, -0.4532338082790375]","[1.0, 0.0]"
"[0.0742720440030098, -0.02780453860759735, -0.13161945343017578, -0.20155566930770874]","[0.0, 1.0]"
"[0.07371595501899719, 0.16893015801906586, -0.13565056025981903, -0.5326897501945496]","[1.0, 0.0]"
"[0.07709455490112305, -0.024049337953329086, -0.14630435407161713, -0.2856387794017792]","[1.0, 0.0]"
"[0.07661356776952744, -0.21681472659111023, -0.15201713144779205, -0.04243998974561691]","[0.0, 1.0]"
"[0.07227727770805359, -0.019876770675182343, -0.152865931391716, -0.3789612650871277]","[1.0, 0.0]"
"[0.07187974452972412, -0.21253487467765808, -0.16044515371322632, -0.13811182975769043]","[1.0, 0.0]"
"[0.06762904673814774, -0.4050385653972626, -0.16320739686489105, 0.09996625036001205]","[1.0, 0.0]"
"[0.05952827259898186, -0.5974910259246826, -0.16120807826519012, 0.337038516998291]","[1.0, 0.0]"
"[0.04757845401763916, -0.7899957895278931, -0.15446729958057404, 0.574861466884613]","[0.0, 1.0]"
"[0.03177853673696518, -0.5930842757225037, -0.14297007024288177, 0.2377779483795166]","[1.0, 0.0]"
"[0.019916852936148643, -0.7859050631523132, -0.13821451365947723, 0.4821680188179016]","[0.0, 1.0]"
"[0.004198750946670771, -0.5891305804252625, -0.12857115268707275, 0.14931532740592957]","[0.0, 1.0]"
"[-0.007583861239254475, -0.39242443442344666, -0.12558484077453613, -0.18100441992282867]","[1.0, 0.0]"
"[-0.015432349406182766, -0.5855464935302734, -0.12920492887496948, 0.0695723295211792]","[1.0, 0.0]"
"[-0.02714327909052372, -0.778602123260498, -0.12781348824501038, 0.31886133551597595]","[1.0, 0.0]"
"[-0.042715322226285934, -0.9716939926147461, -0.12143626064062119, 0.568661630153656]","[0.0, 1.0]"
"[-0.06214920058846474, -0.7750968933105469, -0.11006302386522293, 0.24032308161258698]","[0.0, 1.0]"
"[-0.07765113562345505, -0.5785888433456421, -0.1052565649151802, -0.08494865149259567]","[1.0, 0.0]"
"[-0.08922291547060013, -0.7720568776130676, -0.10695553570985794, 0.17275898158550262]","[1.0, 0.0]"
"[-0.10466405004262924, -0.9654983878135681, -0.1035003587603569, 0.42987820506095886]","[0.0, 1.0]"
"[-0.1239740177989006, -0.7690747380256653, -0.09490279853343964, 0.1064445748925209]","[1.0, 0.0]"
"[-0.13935551047325134, -0.962717592716217, -0.0927739068865776, 0.36774227023124695]","[0.0, 1.0]"
"[-0.15860986709594727, -0.7664082646369934, -0.08541905879974365, 0.04730816185474396]","[0.0, 1.0]"
"[-0.17393803596496582, -0.5701718926429749, -0.0844728946685791, -0.27105581760406494]","[0.0, 1.0]"
"[-0.1853414624929428, -0.3739525079727173, -0.08989401161670685, -0.5891409516334534]","[1.0, 0.0]"
"[-0.19282051920890808, -0.5677083134651184, -0.1016768291592598, -0.3260739743709564]","[1.0, 0.0]"
"[-0.2041746824979782, -0.7612467408180237, -0.10819830745458603, -0.0671071857213974]","[0.0, 1.0]"
"[-0.2193996161222458, -0.5647532939910889, -0.10954045504331589, -0.3918720781803131]","[1.0, 0.0]"
"[-0.23069468140602112, -0.7581640481948853, -0.11737789213657379, -0.13563528656959534]","[0.0, 1.0]"
"[-0.24585796892642975, -0.5615735054016113, -0.12009060382843018, -0.4629219174385071]","[0.0, 1.0]"
"[-0.25708943605422974, -0.36497730016708374, -0.12934903800487518, -0.7909141778945923]","[1.0, 0.0]"
"[-0.2643889784812927, -0.5581084489822388, -0.14516732096672058, -0.5415602326393127]","[1.0, 0.0]"
"[-0.2755511403083801, -0.750923752784729, -0.15599852800369263, -0.29790884256362915]","[0.0, 1.0]"
"[-0.29056963324546814, -0.553961992263794, -0.16195669770240784, -0.6354416608810425]","[1.0, 0.0]"
"[-0.3016488552093506, -0.7464988827705383, -0.17466554045677185, -0.39782312512397766]","[1.0, 0.0]"
"[-0.31657883524894714, -0.9387685060501099, -0.1826220005750656, -0.1648978292942047]","[1.0, 0.0]"
"[-0.335354208946228, -1.1308704614639282, -0.18591995537281036, 0.06507043540477753]","[0.0, 1.0]"
"[-0.3579716384410858, -0.9336370229721069, -0.18461854755878448, -0.28002727031707764]","[0.0, 1.0]"
"[-0.3766443729400635, -0.7364274263381958, -0.19021908938884735, -0.6247847080230713]","[0.0, 1.0]"
"[-0.3913729190826416, -0.5392306447029114, -0.20271478593349457, -0.9708324074745178]","[0.0, 1.0]"
"[-0.047775622457265854, -0.011576414108276367, 0.015128479339182377, 0.009512833319604397]","[1.0, 0.0]"
"[-0.04800715297460556, -0.20691202580928802, 0.015318735502660275, 0.3069303333759308]","[0.0, 1.0]"
"[-0.05214539170265198, -0.012011670507490635, 0.02145734243094921, 0.019117625430226326]","[0.0, 1.0]"
"[-0.05238562449812889, 0.18279609084129333, 0.021839695051312447, -0.2667187750339508]","[0.0, 1.0]"
"[-0.048729702830314636, 0.37759965658187866, 0.016505319625139236, -0.5524340867996216]","[1.0, 0.0]"
"[-0.04117771238088608, 0.18224982917308807, 0.005456638056784868, -0.25459691882133484]","[1.0, 0.0]"
"[-0.03753271326422691, -0.012949598953127861, 0.0003646997211035341, 0.03980211913585663]","[1.0, 0.0]"
"[-0.03779170662164688, -0.20807677507400513, 0.0011607421329244971, 0.33260008692741394]","[0.0, 1.0]"
"[-0.04195324331521988, -0.012971367686986923, 0.00781274400651455, 0.040283430367708206]","[0.0, 1.0]"
"[-0.04221266880631447, 0.18203768134117126, 0.008618412539362907, -0.24992430210113525]","[1.0, 0.0]"
"[-0.03857191652059555, -0.01320627611130476, 0.0036199267487972975, 0.04546454921364784]","[0.0, 1.0]"
"[-0.0388360396027565, 0.18186357617378235, 0.004529217723757029, -0.24607406556606293]","[1.0, 0.0]"
"[-0.035198770463466644, -0.01332276500761509, -0.0003922636096831411, 0.04803403839468956]","[1.0, 0.0]"
"[-0.03546522557735443, -0.20843908190727234, 0.0005684171337634325, 0.3405931890010834]","[0.0, 1.0]"
"[-0.03963400796055794, -0.013325230218470097, 0.007380280643701553, 0.04808954894542694]","[0.0, 1.0]"
"[-0.039900511503219604, 0.18169012665748596, 0.008342071436345577, -0.24225573241710663]","[1.0, 0.0]"
"[-0.03626671060919762, -0.013549990952014923, 0.0034969570115208626, 0.05304679274559021]","[1.0, 0.0]"
"[-0.03653770685195923, -0.20872190594673157, 0.004557893145829439, 0.34683099389076233]","[0.0, 1.0]"
"[-0.0407121479511261, -0.013665085658431053, 0.011494512669742107, 0.055588800460100174]","[1.0, 0.0]"
"[-0.04098545014858246, -0.2089499533176422, 0.012606288306415081, 0.35187605023384094]","[1.0, 0.0]"
"[-0.04516444727778435, -0.4042488932609558, 0.019643809646368027, 0.648507297039032]","[0.0, 1.0]"
"[-0.05324942618608475, -0.2094060182571411, 0.032613955438137054, 0.3620743155479431]","[0.0, 1.0]"
"[-0.05743754655122757, -0.014762439765036106, 0.03985544294118881, 0.07985103130340576]","[1.0, 0.0]"
"[-0.05773279443383217, -0.21043239533901215, 0.04145246371626854, 0.38483726978302]","[0.0, 1.0]"
"[-0.061941441148519516, -0.015922702848911285, 0.04914920777082443, 0.10550691187381744]","[0.0, 1.0]"
"[-0.06225989758968353, 0.1784617155790329, 0.051259346306324005, -0.17127355933189392]","[0.0, 1.0]"
"[-0.05869066342711449, 0.3728139400482178, 0.0478338748216629, -0.44735535979270935]","[1.0, 0.0]"
"[-0.05123438313603401, 0.17704913020133972, 0.038886770606040955, -0.13998618721961975]","[1.0, 0.0]"
"[-0.0476934015750885, -0.018607577309012413, 0.0360870435833931, 0.16470681130886078]","[1.0, 0.0]"
"[-0.04806555062532425, -0.21422703564167023, 0.039381179958581924, 0.46855223178863525]","[0.0, 1.0]"
"[-0.05235009267926216, -0.01968291401863098, 0.04875222593545914, 0.18853740394115448]","[1.0, 0.0]"
"[-0.05274375155568123, -0.21546722948551178, 0.05252297595143318, 0.49619239568710327]","[0.0, 1.0]"
