observation,action
"[0.018776357173919678, -0.18321815133094788, -0.002917163074016571, 0.3149680197238922]","[0.0, 1.0]"
"[0.015111994929611683, 0.01194523461163044, 0.0033821978140622377, 0.021366560831665993]","[0.0, 1.0]"
"[0.015350899659097195, 0.20701852440834045, 0.0038095288909971714, -0.27024734020233154]","[1.0, 0.0]"
"[0.019491270184516907, 0.011842411942780018, -0.0015954176196828485, 0.02363470569252968]","[1.0, 0.0]"
"[0.019728118553757668, -0.1832566261291504, -0.0011227235663682222, 0.3158138394355774]","[0.0, 1.0]"
"[0.016062986105680466, 0.011881303042173386, 0.0051935529336333275, 0.022777048870921135]","[0.0, 1.0]"
"[0.016300611197948456, 0.20692838728427887, 0.005649094004184008, -0.26826274394989014]","[1.0, 0.0]"
"[0.020439179614186287, 0.011726276017725468, 0.00028383932658471167, 0.026196584105491638]","[0.0, 1.0]"
"[0.020673705264925957, 0.20684415102005005, 0.0008077709935605526, -0.26639676094055176]","[1.0, 0.0]"
"[0.024810587987303734, 0.011710685677826405, -0.0045201643370091915, 0.02654082141816616]","[1.0, 0.0]"
"[0.025044802576303482, -0.18334615230560303, -0.003989348188042641, 0.31779417395591736]","[0.0, 1.0]"
"[0.02137787826359272, 0.011832390911877155, 0.002366535132750869, 0.023855814710259438]","[0.0, 1.0]"
"[0.021614527329802513, 0.206920325756073, 0.002843651454895735, -0.2680795192718506]","[1.0, 0.0]"
"[0.02575293369591236, 0.011757905595004559, -0.0025179386138916016, 0.025498971343040466]","[1.0, 0.0]"
"[0.02598809078335762, -0.1833278387784958, -0.0020079591777175665, 0.3173863887786865]","[0.0, 1.0]"
"[0.022321535274386406, 0.011822647415101528, 0.004339768551290035, 0.02407090738415718]","[0.0, 1.0]"
"[0.02255798690021038, 0.20688208937644958, 0.004821186885237694, -0.26723963022232056]","[1.0, 0.0]"
"[0.026695629581809044, 0.011691669002175331, -0.0005236054421402514, 0.026960039511322975]","[1.0, 0.0]"
"[0.0269294623285532, -0.1834227740764618, 1.559532029205002e-05, 0.31947770714759827]","[0.0, 1.0]"
"[0.02326100692152977, 0.011698960326611996, 0.006405149586498737, 0.026799708604812622]","[0.0, 1.0]"
"[0.023494986817240715, 0.2067284733057022, 0.00694114388898015, -0.2638554573059082]","[1.0, 0.0]"
"[0.027629556134343147, 0.011508138850331306, 0.0016640345565974712, 0.03100866638123989]","[0.0, 1.0]"
"[0.027859719470143318, 0.2066061943769455, 0.002284207846969366, -0.2611487805843353]","[1.0, 0.0]"
"[0.03199184313416481, 0.011451704427599907, -0.0029387676622718573, 0.03225374221801758]","[0.0, 1.0]"
"[0.03222087770700455, 0.20661567151546478, -0.0022936926688998938, -0.2613549530506134]","[1.0, 0.0]"
"[0.03635318949818611, 0.011526540853083134, -0.007520791608840227, 0.030603641644120216]","[1.0, 0.0]"
"[0.03658372163772583, -0.18348675966262817, -0.006908718962222338, 0.3209042251110077]","[0.0, 1.0]"
"[0.03291398659348488, 0.011732898652553558, -0.0004906343529000878, 0.02605058252811432]","[1.0, 0.0]"
"[0.033148642629384995, -0.18338201940059662, 3.0377286748262122e-05, 0.31857866048812866]","[0.0, 1.0]"
"[0.029481003060936928, 0.01173950545489788, 0.006401950493454933, 0.025905320420861244]","[0.0, 1.0]"
"[0.02971579320728779, 0.20676906406879425, 0.0069200568832457066, -0.2647508680820465]","[1.0, 0.0]"
"[0.033851176500320435, 0.011549030430614948, 0.0016250398475676775, 0.03010665811598301]","[0.0, 1.0]"
"[0.03408215567469597, 0.20664763450622559, 0.002227172954007983, -0.2620631158351898]","[1.0, 0.0]"
"[0.03821510821580887, 0.011493967846035957, -0.0030140893068164587, 0.031321462243795395]","[1.0, 0.0]"
"[0.038444988429546356, -0.18358463048934937, -0.002387660089880228, 0.32305189967155457]","[0.0, 1.0]"
"[0.034773293882608414, 0.011571238748729229, 0.004073377698659897, 0.02961694821715355]","[0.0, 1.0]"
"[0.03500472009181976, 0.2066345363855362, 0.004665716551244259, -0.26177799701690674]","[1.0, 0.0]"
"[0.03913741186261177, 0.011446298100054264, -0.0005698433378711343, 0.03237288445234299]","[0.0, 1.0]"
"[0.03936633840203285, 0.2065764218568802, 7.761434972053394e-05, -0.2604897916316986]","[1.0, 0.0]"
"[0.04349786415696144, 0.01145335752516985, -0.005132181104272604, 0.03221762552857399]","[1.0, 0.0]"
"[0.043726932257413864, -0.18359461426734924, -0.004487828817218542, 0.3232768774032593]","[0.0, 1.0]"
"[0.0400550402700901, 0.011590946465730667, 0.001977709122002125, 0.029182069003582]","[0.0, 1.0]"
"[0.04028685763478279, 0.20668448507785797, 0.002561350353062153, -0.2628762125968933]","[1.0, 0.0]"
"[0.044420547783374786, 0.011526062153279781, -0.0026961739640682936, 0.0306134894490242]","[1.0, 0.0]"
"[0.04465106874704361, -0.18355712294578552, -0.0020839041098952293, 0.32244452834129333]","[0.0, 1.0]"
"[0.04097992554306984, 0.011594442650675774, 0.004364986438304186, 0.02910514734685421]","[0.0, 1.0]"
"[0.0412118174135685, 0.20665352046489716, 0.0049470895901322365, -0.2621973752975464]","[1.0, 0.0]"
"[0.04534488543868065, 0.011461309157311916, -0.00029685834306292236, 0.032041795551776886]","[1.0, 0.0]"
"[0.045574113726615906, -0.18365637958049774, 0.0003439775318838656, 0.3246310353279114]","[0.0, 1.0]"
"[0.041900984942913055, 0.011460667476058006, 0.00683659827336669, 0.03205661103129387]","[0.0, 1.0]"
"[0.04213019832968712, 0.20648391544818878, 0.0074777305126190186, -0.25846147537231445]","[1.0, 0.0]"
"[0.04625987634062767, 0.011256012134253979, 0.002308501163497567, 0.03657061979174614]","[0.0, 1.0]"
"[0.046484995633363724, 0.20634478330612183, 0.003039913484826684, -0.25538304448127747]","[1.0, 0.0]"
"[0.050611890852451324, 0.011179560795426369, -0.0020677475258708, 0.038257159292697906]","[0.0, 1.0]"
"[0.05083548277616501, 0.20633110404014587, -0.001302604447118938, -0.25507745146751404]","[1.0, 0.0]"
"[0.05496210604906082, 0.011227774433791637, -0.006404153537005186, 0.03719433397054672]","[1.0, 0.0]"
"[0.05518666282296181, -0.18380175530910492, -0.005660266615450382, 0.3278498351573944]","[0.0, 1.0]"
"[0.05151062458753586, 0.011400316841900349, 0.0008967297617346048, 0.03338729217648506]","[1.0, 0.0]"
"[0.05173863098025322, -0.1837344765663147, 0.0015644755912944674, 0.3263530135154724]","[0.0, 1.0]"
"[0.048063941299915314, 0.011365159414708614, 0.008091535419225693, 0.034163862466812134]","[0.0, 1.0]"
"[0.048291247338056564, 0.20637014508247375, 0.008774813264608383, -0.25595515966415405]","[1.0, 0.0]"
"[0.052418649196624756, 0.01112401857972145, 0.0036557100247591734, 0.03948252275586128]","[0.0, 1.0]"
"[0.0526411309838295, 0.20619335770606995, 0.004445360507816076, -0.25204476714134216]","[1.0, 0.0]"
"[0.05676499754190445, 0.01100821141153574, -0.000595534685999155, 0.0420370027422905]","[0.0, 1.0]"
"[0.05698516219854355, 0.2061387002468109, 0.00024520535953342915, -0.25083374977111816]","[1.0, 0.0]"
"[0.06110793352127075, 0.011013245210051537, -0.004771470092236996, 0.04192649945616722]","[0.0, 1.0]"
"[0.06132819876074791, 0.20620329678058624, -0.00393293984234333, -0.2522580325603485]","[1.0, 0.0]"
"[0.06545226275920868, 0.011137721128761768, -0.0089781004935503, 0.03918176516890526]","[1.0, 0.0]"
"[0.06567502021789551, -0.183854341506958, -0.008194465190172195, 0.3290185332298279]","[0.0, 1.0]"
"[0.06199793145060539, 0.01138330064713955, -0.001614094595424831, 0.033762771636247635]","[1.0, 0.0]"
"[0.062225598841905594, -0.18371546268463135, -0.0009388391626998782, 0.3259359896183014]","[0.0, 1.0]"
"[0.05855128914117813, 0.011419839225709438, 0.005579880904406309, 0.03295714780688286]","[0.0, 1.0]"
"[0.05877968668937683, 0.2064613252878189, 0.006239023525267839, -0.2579600512981415]","[1.0, 0.0]"
"[0.06290891021490097, 0.011250865645706654, 0.0010798225412145257, 0.036684200167655945]","[1.0, 0.0]"
"[0.06313393265008926, -0.1838865578174591, 0.0018135065911337733, 0.32970762252807617]","[0.0, 1.0]"
"[0.059456199407577515, 0.011209534481167793, 0.008407658897340298, 0.03759714588522911]","[0.0, 1.0]"
"[0.05968039110302925, 0.2062099128961563, 0.009159602224826813, -0.2524212598800659]","[1.0, 0.0]"
"[0.06380458921194077, 0.010958378203213215, 0.004111176822334528, 0.04313664138317108]","[0.0, 1.0]"
"[0.06402375549077988, 0.20602113008499146, 0.004973909817636013, -0.24824634194374084]","[1.0, 0.0]"
"[0.06814417988061905, 0.010828505270183086, 8.982867257145699e-06, 0.04600130766630173]","[0.0, 1.0]"
"[0.06836074590682983, 0.20595033466815948, 0.0009290090529248118, -0.24667878448963165]","[1.0, 0.0]"
"[0.07247975468635559, 0.010815120302140713, -0.004004566464573145, 0.04629702866077423]","[0.0, 1.0]"
"[0.07269605994224548, 0.20599426329135895, -0.0030786260031163692, -0.24764667451381683]","[1.0, 0.0]"
"[0.07681594043970108, 0.01091641653329134, -0.008031560108065605, 0.044063590466976166]","[1.0, 0.0]"
"[0.07703427225351334, -0.18408945202827454, -0.007150287739932537, 0.3342016935348511]","[0.0, 1.0]"
"[0.07335247844457626, 0.011133533902466297, -0.00046625378308817744, 0.03927254676818848]","[1.0, 0.0]"
"[0.07357515394687653, -0.1839817315340042, 0.0003191971336491406, 0.33180832862854004]","[0.0, 1.0]"
"[0.06989552080631256, 0.011135677807033062, 0.006955363787710667, 0.03922607749700546]","[0.0, 1.0]"
"[0.07011823356151581, 0.20615720748901367, 0.0077398852445185184, -0.25125426054000854]","[1.0, 0.0]"
"[0.07424137741327286, 0.010925586335361004, 0.002714799949899316, 0.04385988414287567]","[0.0, 1.0]"
"[0.07445988804101944, 0.20600850880146027, 0.0035919975489377975, -0.2479652613401413]","[1.0, 0.0]"
"[0.07858005911111832, 0.010835438035428524, -0.0013673077337443829, 0.04584849253296852]","[0.0, 1.0]"
"[0.07879676669836044, 0.2059769630432129, -0.00045033785863779485, -0.2472655177116394]","[1.0, 0.0]"
"[0.08291630446910858, 0.010861452668905258, -0.005395648069679737, 0.04527532681822777]","[1.0, 0.0]"
"[0.08313353359699249, -0.18418271839618683, -0.0044901417568326, 0.33625099062919617]","[0.0, 1.0]"
"[0.07944987714290619, 0.01100284792482853, 0.002234878484159708, 0.042155515402555466]","[0.0, 1.0]"
"[0.07966993749141693, 0.2060926854610443, 0.0030779887456446886, -0.24982145428657532]","[1.0, 0.0]"
"[0.08379179239273071, 0.010926909744739532, -0.001918440219014883, 0.0438307486474514]","[1.0, 0.0]"
"[0.08401033282279968, -0.18416747450828552, -0.0010418252786621451, 0.33590778708457947]","[0.0, 1.0]"
"[0.08032698184251785, 0.010969283059239388, 0.00567633006721735, 0.042896490544080734]","[0.0, 1.0]"
"[0.08054636418819427, 0.2060093730688095, 0.006534259766340256, -0.24799010157585144]","[1.0, 0.0]"
"[0.08466655015945435, 0.01079472154378891, 0.0015744578558951616, 0.04674668610095978]","[0.0, 1.0]"
"[0.08488244563341141, 0.20589406788349152, 0.0025093916337937117, -0.2454390674829483]","[1.0, 0.0]"
"[0.08900032937526703, 0.010736359283328056, -0.0023993898648768663, 0.04803432151675224]","[0.0, 1.0]"
"[0.08921505510807037, 0.2058926373720169, -0.0014387033879756927, -0.2454046607017517]","[1.0, 0.0]"
"[0.09333290904760361, 0.010791259817779064, -0.00634679663926363, 0.04682411253452301]","[1.0, 0.0]"
"[0.0935487300157547, -0.18423910439014435, -0.005410314537584782, 0.3374978303909302]","[0.0, 1.0]"
"[0.08986394852399826, 0.010959411971271038, 0.0013396419817581773, 0.04311370477080345]","[1.0, 0.0]"
"[0.09008313715457916, -0.18418172001838684, 0.0022019161842763424, 0.33621901273727417]","[0.0, 1.0]"
"[0.08639950305223465, 0.010908822529017925, 0.00892629660665989, 0.04423125460743904]","[0.0, 1.0]"
"[0.08661767840385437, 0.205901637673378, 0.009810920804738998, -0.24562202394008636]","[1.0, 0.0]"
"[0.09073571115732193, 0.010640952736139297, 0.0048984806053340435, 0.050139278173446655]","[0.0, 1.0]"
"[0.09094853699207306, 0.205692321062088, 0.0059012663550674915, -0.24099412560462952]","[1.0, 0.0]"
"[0.09506238251924515, 0.010486572980880737, 0.0010813837870955467, 0.05354436859488487]","[0.0, 1.0]"
"[0.09527210891246796, 0.20559300482273102, 0.0021522711031138897, -0.2387971729040146]","[1.0, 0.0]"
"[0.09938397258520126, 0.010440370067954063, -0.002623672364279628, 0.05456386134028435]","[0.0, 1.0]"
"[0.09959278255701065, 0.205599844455719, -0.0015323952538892627, -0.23894570767879486]","[1.0, 0.0]"
"[0.1037047728896141, 0.010499815456569195, -0.006311309058219194, 0.05325347185134888]","[1.0, 0.0]"
"[0.103914774954319, -0.1845310777425766, -0.005246239714324474, 0.3439384698867798]","[0.0, 1.0]"
"[0.10022415220737457, 0.01066511683166027, 0.0016325295437127352, 0.049605824053287506]","[0.0, 1.0]"
"[0.1004374548792839, 0.20576362311840057, 0.0026246460620313883, -0.24256157875061035]","[1.0, 0.0]"
"[0.10455272346735, 0.01060427725315094, -0.0022265855222940445, 0.05094807222485542]","[1.0, 0.0]"
"[0.10476481169462204, -0.18448567390441895, -0.0012076242128387094, 0.3429276645183563]","[0.0, 1.0]"
"[0.10107509791851044, 0.010653435252606869, 0.0056509291753172874, 0.04986416548490524]","[0.0, 1.0]"
"[0.10128816962242126, 0.20569390058517456, 0.00664821220561862, -0.2410304993391037]","[1.0, 0.0]"
"[0.10540204495191574, 0.01047761831432581, 0.0018276023911312222, 0.05374201759696007]","[0.0, 1.0]"
"[0.10561159998178482, 0.20557332038879395, 0.0029024428222328424, -0.23836372792720795]","[1.0, 0.0]"
"[0.1097230613231659, 0.010410021059215069, -0.0018648317782208323, 0.05523329973220825]","[0.0, 1.0]"
"[0.10993126034736633, 0.2055586576461792, -0.0007601657998748124, -0.23803740739822388]","[1.0, 0.0]"
"[0.11404243856668472, 0.010447578504681587, -0.00552091421559453, 0.05440564081072807]","[1.0, 0.0]"
