observation,action
"[-0.11987590044736862, -0.9927889108657837, 6.329751491546631]",[-0.05784886]
"[0.16931933164596558, -0.9855612516403198, 5.806077480316162]",[1.4727832]
"[0.42200344800949097, -0.9065942168235779, 5.310301303863525]",[1.6226317]
"[0.6200467348098755, -0.7845648527145386, 4.662964820861816]",[0.21739584]
"[0.7590538263320923, -0.6510278582572937, 3.8611249923706055]",[-1.4227749]
"[0.8497449159622192, -0.527194082736969, 3.0728540420532227]",[-2.2933762]
"[0.9062697887420654, -0.4226997196674347, 2.377458333969116]",[-2.2126079]
"[0.9427074193954468, -0.3336206376552582, 1.9256107807159424]",[-0.8988189]
"[0.9662555456161499, -0.2575853168964386, 1.5923855304718018]",[-0.553399]
"[0.9812317490577698, -0.1928320676088333, 1.329495906829834]",[-0.4646706]
"[0.9904171824455261, -0.13810813426971436, 1.1099318265914917]",[-0.4996001]
"[0.9957345128059387, -0.09226460754871368, 0.9230993390083313]",[-0.5550093]
"[0.9985318183898926, -0.05416874587535858, 0.7640148997306824]",[-0.59924]
"[0.999741792678833, -0.022723674774169922, 0.6293928027153015]",[-0.6266367]
"[0.999995231628418, 0.003092922968789935, 0.5163711905479431]",[-0.63985914]
"[0.9997071027755737, 0.02420070208609104, 0.4222027361392975]",[-0.6432542]
"[0.9991424679756165, 0.04140399396419525, 0.34425535798072815]",[-0.64065284]
"[0.9984647035598755, 0.05539154261350632, 0.28008148074150085]",[-0.6348457]
"[0.9978617429733276, 0.0653597041964531, 0.19972841441631317]",[-0.8126449]
"[0.9974422454833984, 0.07147717475891113, 0.12263697385787964]",[-0.84074146]
"[0.9970319271087646, 0.0769890621304512, 0.11054284870624542]",[-0.43801337]
"[0.9966707825660706, 0.08153141289949417, 0.09113391488790512]",[-0.5143382]
"[0.9963516592979431, 0.0853423997759819, 0.07648637890815735]",[-0.5053073]
"[0.996081531047821, 0.08843966573476791, 0.06218063831329346]",[-0.5220836]
"[0.9958578944206238, 0.09092366695404053, 0.049880992621183395]",[-0.52419597]
"[0.9956740140914917, 0.09291554987430573, 0.04000696912407875]",[-0.52044517]
"[0.9955236911773682, 0.09451250731945038, 0.03208041563630104]",[-0.5174214]
"[0.9954013228416443, 0.09579268097877502, 0.025720084086060524]",[-0.51496476]
"[0.9953020215034485, 0.09681876748800278, 0.020617656409740448]",[-0.51297957]
"[0.9952216744422913, 0.09764113277196884, 0.016525598242878914]",[-0.51137424]
"[0.9951568245887756, 0.09830017387866974, 0.013244549743831158]",[-0.5100793]
"[0.9951044917106628, 0.09882830083370209, 0.01061420887708664]",[-0.5090365]
"[0.9950623512268066, 0.09925150126218796, 0.008505741134285927]",[-0.50819796]
"[0.9950284957885742, 0.09959059953689575, 0.006815735250711441]",[-0.5075242]
"[0.9950012564659119, 0.09986231476068497, 0.005461539141833782]",[-0.50698096]
"[0.9949793815612793, 0.10008001327514648, 0.0043760035187006]",[-0.50654846]
"[0.9949618577957153, 0.10025445371866226, 0.003506370587274432]",[-0.50619763]
"[0.9949477314949036, 0.10039421170949936, 0.0028093361761420965]",[-0.50591916]
"[0.9949364066123962, 0.10050618648529053, 0.002250826917588711]",[-0.50569445]
"[0.9949273467063904, 0.10059589147567749, 0.0018032530788332224]",[-0.50551474]
"[0.9949200749397278, 0.10066778212785721, 0.0014451669994741678]",[-0.5053667]
"[0.9949142932891846, 0.10072536021471024, 0.0011574594536796212]",[-0.50525695]
"[0.9949095845222473, 0.10077149420976639, 0.0009274646872654557]",[-0.5051601]
"[0.9949058294296265, 0.10080845654010773, 0.0007429536781273782]",[-0.50508755]
"[0.9949028491973877, 0.1008380651473999, 0.0005952632054686546]",[-0.5050269]
"[0.9949004650115967, 0.10086178779602051, 0.00047686236212030053]",[-0.50497967]
"[0.9948984980583191, 0.10088080167770386, 0.0003822071885224432]",[-0.50494]
"[0.9948969483375549, 0.10089603066444397, 0.00030610323301516473]",[-0.50491136]
"[0.9948957562446594, 0.10090822726488113, 0.00024525512708351016]",[-0.5048858]
"[0.9948947429656982, 0.10091802477836609, 0.0001968741707969457]",[-0.5048637]
"[0.9948939681053162, 0.10092585533857346, 0.0001575012574903667]",[-0.5048526]
"[0.9948933124542236, 0.10093213617801666, 0.000126186030684039]",[-0.50483805]
"[0.9948927760124207, 0.10093716531991959, 0.0001011789936455898]",[-0.5048274]
"[0.994892418384552, 0.10094118863344193, 8.091238851193339e-05]",[-0.50482094]
"[0.9948920607566833, 0.10094442218542099, 6.490725354524329e-05]",[-0.50481266]
"[0.9948918223381042, 0.10094700753688812, 5.2038969442946836e-05]",[-0.5048079]
"[0.9948915839195251, 0.10094907879829407, 4.1594976210035384e-05]",[-0.5048047]
"[0.9948914051055908, 0.10095072537660599, 3.314985951874405e-05]",[-0.5048017]
"[0.9948912858963013, 0.10095205157995224, 2.6629944841261022e-05]",[-0.5047971]
"[0.9948911666870117, 0.100953109562397, 2.1273426682455465e-05]",[-0.50479597]
"[0.9948911070823669, 0.10095395147800446, 1.6907279132283293e-05]",[-0.50479466]
"[0.9948910474777222, 0.10095462948083878, 1.3708359801967163e-05]",[-0.5047911]
"[0.9948909878730774, 0.10095518827438354, 1.116392741096206e-05]",[-0.5047901]
"[0.9948909282684326, 0.10095562785863876, 8.839308975439053e-06]",[-0.50479144]
"[0.9948908686637878, 0.10095598548650742, 7.193157671281369e-06]",[-0.5047891]
"[0.9948908686637878, 0.1009562760591507, 5.761727607023204e-06]",[-0.5047895]
"[0.9948908686637878, 0.100956492125988, 4.37538528785808e-06]",[-0.5047906]
"[0.9948908090591431, 0.10095667093992233, 3.5993166420666967e-06]",[-0.5047876]
"[0.9948908090591431, 0.10095681250095367, 2.9307104796316708e-06]",[-0.5047878]
"[0.9948908090591431, 0.10095693171024323, 2.407207148280577e-06]",[-0.50478756]
"[0.9948908090591431, 0.10095702856779099, 1.928809524542885e-06]",[-0.50478786]
"[0.9948907494544983, 0.10095711797475815, 1.7905935010276153e-06]",[-0.5047861]
"[0.9948907494544983, 0.10095718502998352, 1.254265498573659e-06]",[-0.5047892]
"[0.9948907494544983, 0.1009572222828865, 8.094355621324212e-07]",[-0.5047889]
"[0.9948907494544983, 0.10095725953578949, 7.703136475356587e-07]",[-0.5047864]
"[0.9948907494544983, 0.10095729678869247, 7.420495649057557e-07]",[-0.5047865]
"[0.9948907494544983, 0.10095731168985367, 3.391387792817113e-07]",[-0.5047892]
"[0.9948907494544983, 0.10095733404159546, 3.9591554923390504e-07]",[-0.5047862]
"[0.9948907494544983, 0.10095734894275665, 2.7076796982328233e-07]",[-0.5047875]
"[0.9948907494544983, 0.10095737129449844, 4.5970602968736785e-07]",[-0.5047855]
"[0.9948907494544983, 0.10095737874507904, 1.8299733994808776e-07]",[-0.5047887]
"[0.9948907494544983, 0.10095739364624023, 2.7074386821368535e-07]",[-0.5047863]
"[0.9948907494544983, 0.10095740109682083, 1.5401468544951058e-07]",[-0.50478774]
"[0.9948907494544983, 0.10095741599798203, 2.933710732122563e-07]",[-0.5047861]
"[0.9948907494544983, 0.10095742344856262, 1.9333313616698433e-07]",[-0.50478774]
"[0.9948907494544983, 0.10095742344856262, 1.1101188412965257e-08]",[-0.50478834]
"[0.9948907494544983, 0.10095743089914322, 4.386013330304195e-08]",[-0.5047869]
"[0.9948907494544983, 0.10095743089914322, 2.461124815056337e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095743089914322, 4.2043357240117984e-08]",[-0.504787]
"[0.9948907494544983, 0.10095743089914322, 2.5281247317821e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095743089914322, 4.5225128531001246e-08]",[-0.504787]
"[0.9948907494544983, 0.10095743834972382, 3.109350288355017e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095743834972382, 3.6003314107802e-08]",[-0.50478715]
"[0.9948907494544983, 0.10095743834972382, 4.225635663601679e-08]",[-0.50478715]
"[0.9948907494544983, 0.10095743834972382, 3.220452171603938e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, 4.1235576730969115e-08]",[-0.50478715]
"[0.9948907494544983, 0.10095744580030441, 6.968646459881711e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 6.49744507086325e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, 6.268653152119441e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, 6.273734243222862e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 6.512878769626695e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 3.41872983256053e-08]",[-0.5047875]
"[0.9948907494544983, 0.1009574607014656, 4.028407118994437e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 4.788377339082217e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 7.515134115010369e-08]",[-0.50478715]
"[0.9948907494544983, 0.1009574681520462, -1.994707510277749e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574681520462, -8.002689355635084e-08]",[-0.50478774]
"[0.9948907494544983, 0.1009574681520462, 5.3602938976382575e-08]",[-0.50478643]
"[0.9948907494544983, 0.1009574681520462, 8.194425049623533e-08]",[-0.50478715]
"[0.9948907494544983, 0.1009574681520462, -1.1826982060370028e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574681520462, -7.027667692227624e-08]",[-0.50478774]
"[0.9948907494544983, 0.1009574756026268, 1.5475401937692368e-07]",[-0.50478584]
"[0.9948907494544983, 0.1009574756026268, -2.5713712048514026e-08]",[-0.5047886]
"[0.9948907494544983, 0.1009574681520462, -1.3561520972871222e-07]",[-0.5047881]
"[0.9948907494544983, 0.1009574681520462, -3.5999565994870864e-08]",[-0.5047867]
"[0.9948907494544983, 0.1009574607014656, -4.5015372762691186e-08]",[-0.5047874]
"[0.9948907494544983, 0.1009574607014656, -2.066452120530471e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -4.8601592084196454e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, -7.54301598959728e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -5.617282283765235e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, 5.403419223171113e-08]",[-0.50478655]
"[0.9948907494544983, 0.1009574607014656, 5.896877652844523e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 6.610338942891758e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, -3.158414330073356e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574607014656, -4.104306583485595e-08]",[-0.5047874]
"[0.9948907494544983, 0.1009574607014656, 1.6109437117606262e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -4.508191508989512e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, -4.049737434286271e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -5.257561852545223e-08]",[-0.5047876]
"[0.9948907494544983, 0.10095745325088501, -1.3656043407195284e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -1.100874147397235e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -8.772157222836086e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -6.862848955790923e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -5.209582543130864e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -3.951346272401679e-08]",[-0.5047875]
"[0.9948907494544983, 0.10095744580030441, -1.2893571010863525e-07]",[-0.50478786]
"[0.9948907494544983, 0.10095743834972382, -1.3376137530940468e-07]",[-0.50478727]
"[0.9948907494544983, 0.10095743089914322, -1.9722163813185034e-07]",[-0.5047876]
"[0.9948907494544983, 0.10095743089914322, -5.346321430010903e-08]",[-0.5047862]
"[0.9948907494544983, 0.10095743089914322, 1.0618198587053485e-07]",[-0.5047861]
"[0.9948907494544983, 0.10095743834972382, 1.8038169002920768e-07]",[-0.5047867]
"[0.9948907494544983, 0.10095744580030441, 8.249721616948591e-08]",[-0.50478786]
"[0.9948907494544983, 0.10095745325088501, 1.1286033441137988e-07]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -1.3498444140225274e-08]",[-0.5047881]
"[0.9948907494544983, 0.10095745325088501, -1.5191076840892492e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, -1.7450465961132977e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, 1.5401884212451478e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 4.8828855625515644e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 4.8314763745338496e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 4.9603219309801716e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 5.2742294087693153e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 5.784909618000711e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 6.511415762133765e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, -3.2479835709864346e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574607014656, -4.18786356704004e-08]",[-0.5047874]
"[0.9948907494544983, 0.1009574607014656, 8.043229415832798e-10]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -4.5889677835475595e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, -4.888784044254635e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -5.347724751914029e-08]",[-0.5047876]
"[0.9948907494544983, 0.10095745325088501, -1.465389765087366e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -1.2140047189745928e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -1.0079121537387437e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -8.394232864361584e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -7.022518566657254e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -5.912804024177376e-09]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -4.0786474642118264e-08]",[-0.5047875]
"[0.9948907494544983, 0.10095744580030441, -1.3082599537028727e-07]",[-0.50478786]
"[0.9948907494544983, 0.10095743834972382, -1.3633946593927249e-07]",[-0.50478727]
"[0.9948907494544983, 0.10095743089914322, -9.329536965196894e-08]",[-0.5047869]
"[0.9966094493865967, -0.0822778269648552, 0.155592143535614]",[2.1447754]
"[0.9980364441871643, -0.06263571977615356, 0.3938837945461273]",[2.454515]
"[0.9993943572044373, -0.03479753062129021, 0.5574438571929932]",[1.4035792]
"[0.9999590516090393, -0.009051165543496609, 0.5150653719902039]",[-0.1085357]
"[0.9999116659164429, 0.01328958012163639, 0.44682520627975464]",[-0.40967864]
"[0.9994853734970093, 0.03207805007696152, 0.3758716583251953]",[-0.53947157]
"[0.9988656640052795, 0.04761756584048271, 0.3110404908657074]",[-0.5925979]
"[0.9982168078422546, 0.059692658483982086, 0.24185170233249664]",[-0.6993465]
"[0.9977049231529236, 0.06771218031644821, 0.16071727871894836]",[-0.83935946]
"[0.9972829818725586, 0.07366593927145004, 0.11937405169010162]",[-0.6141824]
"[0.9968918561935425, 0.07878178358078003, 0.10261550545692444]",[-0.4800533]
"[0.9965463876724243, 0.08303763717412949, 0.08539710193872452]",[-0.5086983]
"[0.9962438941001892, 0.08659125864505768, 0.07132948189973831]",[-0.5089723]
"[0.995992124080658, 0.08944116532802582, 0.057220209389925]",[-0.52701813]
"[0.9957842230796814, 0.09172679483890533, 0.0459013357758522]",[-0.52266496]
"[0.995613694190979, 0.09355947375297546, 0.03681189566850662]",[-0.51923025]
"[0.9954745173454285, 0.09502872079610825, 0.029516486451029778]",[-0.5164334]
"[0.9953613877296448, 0.09620644897222519, 0.023662948980927467]",[-0.5141672]
"[0.9952697157859802, 0.09715040028095245, 0.018967900425195694]",[-0.51233256]
"[0.9951955676078796, 0.0979069173336029, 0.015202786773443222]",[-0.51085275]
"[0.9951357245445251, 0.098513163626194, 0.012183891609311104]",[-0.50966054]
"[0.9950875639915466, 0.09899897873401642, 0.009763969108462334]",[-0.50869864]
"[0.9950487017631531, 0.09938827157020569, 0.007824554108083248]",[-0.5079243]
"[0.9950175285339355, 0.0997001901268959, 0.006269496865570545]",[-0.5073084]
"[0.9949924349784851, 0.09995012730360031, 0.0050237481482326984]",[-0.50680596]
"[0.994972288608551, 0.10015036165714264, 0.00402490422129631]",[-0.5064096]
"[0.9949561357498169, 0.10031081736087799, 0.0032253216486424208]",[-0.50608236]
"[0.9949432015419006, 0.10043936222791672, 0.002583934459835291]",[-0.50583]
"[0.9949327707290649, 0.10054235905408859, 0.002070462331175804]",[-0.50561994]
"[0.9949244260787964, 0.10062488913536072, 0.0016589874867349863]",[-0.50545496]
"[0.9949177503585815, 0.10069099813699722, 0.0013289356138557196]",[-0.5053248]
"[0.9949123859405518, 0.10074397176504135, 0.0010649255709722638]",[-0.50521505]
"[0.9949080944061279, 0.10078641027212143, 0.0008531014900654554]",[-0.505132]
"[0.994904637336731, 0.1008203998208046, 0.0006832625367678702]",[-0.5050643]
"[0.9949018955230713, 0.10084764659404755, 0.0005477667436935008]",[-0.5050053]
"[0.9948996901512146, 0.10086947679519653, 0.0004387692897580564]",[-0.5049649]
"[0.9948979020118713, 0.10088697075843811, 0.00035170288174413145]",[-0.5049278]
"[0.9948964715003967, 0.10090097784996033, 0.00028157574706710875]",[-0.50490236]
"[0.994895339012146, 0.1009121984243393, 0.00022552114387508482]",[-0.5048786]
"[0.9948944449424744, 0.10092118382453918, 0.0001807414519134909]",[-0.5048595]
"[0.9948936700820923, 0.100928395986557, 0.00014495801588054746]",[-0.5048445]
"[0.9948931336402893, 0.10093417763710022, 0.00011617418931564316]",[-0.5048339]
"[0.9948926568031311, 0.10093879699707031, 9.294058691011742e-05]",[-0.5048258]
"[0.9948922395706177, 0.10094250738620758, 7.460496271960437e-05]",[-0.50481623]
"[0.9948919415473938, 0.10094548016786575, 5.967859033262357e-05]",[-0.50481206]
"[0.9948917031288147, 0.10094784945249557, 4.76224631711375e-05]",[-0.5048078]
"[0.9948915243148804, 0.10094974935054779, 3.821924110525288e-05]",[-0.5048019]
"[0.994891345500946, 0.10095126926898956, 3.0617429729318246e-05]",[-0.5047994]
"[0.9948912262916565, 0.10095249861478806, 2.4587061489000916e-05]",[-0.50479656]
"[0.9948911666870117, 0.10095348209142685, 1.9876328224199824e-05]",[-0.5047939]
"[0.9948910474777222, 0.10095427185297012, 1.582668483024463e-05]",[-0.5047944]
"[0.9948909878730774, 0.10095490515232086, 1.2760898243868724e-05]",[-0.5047918]
"[0.9948909282684326, 0.10095539689064026, 9.867218068393413e-06]",[-0.5047938]
"[0.9948909282684326, 0.1009557917714119, 7.913872650533449e-06]",[-0.50479]
"[0.9948908686637878, 0.10095611959695816, 6.541883067257004e-06]",[-0.5047881]
"[0.9948908686637878, 0.10095638036727905, 5.288791271595983e-06]",[-0.50478894]
"[0.9948908090591431, 0.10095658153295517, 4.0899644773162436e-06]",[-0.5047899]
"[0.9948908090591431, 0.1009567454457283, 3.285126695118379e-06]",[-0.5047883]
"[0.9948908090591431, 0.10095687955617905, 2.701199264265597e-06]",[-0.5047876]
"[0.9948908090591431, 0.100956991314888, 2.2091087430453626e-06]",[-0.5047877]
"[0.9948908090591431, 0.10095708072185516, 1.8441400015944964e-06]",[-0.5047874]
"[0.9948907494544983, 0.10095715522766113, 1.3959813713881886e-06]",[-0.5047884]
"[0.9948907494544983, 0.10095720738172531, 1.0714301197367604e-06]",[-0.5047879]
"[0.9948907494544983, 0.1009572371840477, 7.063859470690659e-07]",[-0.50478846]
"[0.9948907494544983, 0.10095727443695068, 7.432051347677771e-07]",[-0.50478595]
"[0.9948907494544983, 0.10095730423927307, 4.948277592120576e-07]",[-0.50478804]
"[0.9948907494544983, 0.10095731914043427, 4.16903503719368e-07]",[-0.504787]
"[0.9948907494544983, 0.10095733404159546, 2.3830413908854098e-07]",[-0.5047878]
"[0.9948907494544983, 0.10095735639333725, 4.3516411096788943e-07]",[-0.50478536]
"[0.9948907494544983, 0.10095737129449844, 2.9063147621855023e-07]",[-0.50478774]
"[0.9948907494544983, 0.10095739364624023, 4.0728136241341417e-07]",[-0.5047861]
"[0.9948907494544983, 0.10095739364624023, 7.421003545005078e-08]",[-0.5047892]
"[0.9948907494544983, 0.10095740109682083, 1.5517940710196854e-07]",[-0.50478643]
"[0.9948907494544983, 0.10095741599798203, 2.955824527361983e-07]",[-0.5047861]
"[0.9948907494544983, 0.10095742344856262, 1.96673724417451e-07]",[-0.50478774]
"[0.9948907494544983, 0.10095743089914322, 1.5695588828634754e-08]",[-0.50478834]
"[0.9948907494544983, 0.10095743089914322, 1.0352393786661196e-07]",[-0.50478655]
"[0.9948907494544983, 0.10095743834972382, 1.7733320589741197e-07]",[-0.5047867]
"[0.9948907494544983, 0.10095744580030441, 7.894455933410427e-08]",[-0.50478786]
"[0.9948907494544983, 0.10095745325088501, 1.0867096023048362e-07]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -1.8480841745827092e-08]",[-0.5047881]
"[0.9948907494544983, 0.10095744580030441, -2.1152379403588384e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, 1.1149709600033475e-08]",[-0.504787]
"[0.9948907494544983, 0.10095744580030441, -2.7657797829760966e-08]",[-0.5047875]
"[0.9948907494544983, 0.10095744580030441, 4.028401612288235e-09]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 3.586489327744857e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 6.903944438363396e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 1.5382784823714246e-08]",[-0.5047876]
"[0.9948907494544983, 0.10095745325088501, 5.17069977945539e-08]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, 5.4197528243093984e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 5.8710082129209695e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 6.541301189599835e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, -3.27319575887941e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574607014656, -4.2691137736028395e-08]",[-0.5047874]
"[0.9948907494544983, 0.1009574607014656, -5.988785023447463e-10]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -4.793592722762696e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, -7.654424649672364e-09]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -5.7065463465733046e-08]",[-0.5047876]
"[0.9948907494544983, 0.10095745325088501, -1.9198553857791012e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -1.7810698693665472e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -1.708733421423858e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -1.700147045369249e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -1.7549902864288924e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -1.8753095076817772e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -2.0655935628610678e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, -2.3329414844397434e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, 8.889507796538965e-09]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 4.1440085141175587e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 7.553672531912525e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, 2.304455293256069e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, 6.081910441935179e-08]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, 6.509993255576774e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574607014656, 3.6046742479811655e-08]",[-0.5047875]
"[0.9948907494544983, 0.1009574681520462, 4.410119203157592e-08]",[-0.50478727]
"[0.9948907494544983, 0.1009574681520462, 7.168237914356723e-08]",[-0.50478715]
"[0.9948907494544983, 0.1009574681520462, -2.32318360104955e-08]",[-0.504788]
"[0.9948907494544983, 0.1009574681520462, -6.53686100804407e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574756026268, 1.5827671973056567e-07]",[-0.50478584]
"[0.9948907494544983, 0.1009574756026268, -2.3444952645945705e-08]",[-0.5047886]
"[0.9948907494544983, 0.1009574681520462, -1.3451574432110647e-07]",[-0.5047881]
"[0.9948907494544983, 0.1009574607014656, -3.6028378502805936e-08]",[-0.5047867]
"[0.9948907494544983, 0.1009574607014656, -4.6173536105698076e-08]",[-0.5047874]
"[0.9948907494544983, 0.1009574607014656, -4.397174180326147e-09]",[-0.504787]
"[0.9948907494544983, 0.1009574607014656, -5.2191829524872446e-08]",[-0.5047876]
"[0.9948907494544983, 0.1009574607014656, -1.2526714776583958e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -6.273591424132974e-08]",[-0.5047876]
"[0.9948907494544983, 0.10095745325088501, -2.587873026982379e-08]",[-0.504787]
"[0.9948907494544983, 0.10095745325088501, -2.5749823606702194e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095745325088501, -2.658160092039452e-08]",[-0.50478727]
"[0.9948907494544983, 0.10095744580030441, -2.8405096941241936e-08]",[-0.50478727]
